61,Halloween Party at Rec,2019-10-31,454528
62,Helping out in Guidance ,2019-11-01,454528
63,Helping out in Main Office ,2019-11-01,234476
64,Tutoring in Guidance ,2019-11-01,234476
65,Making Pins for Anxiety Awarness,2019-11-12,144406
66,Chromebook Committee,2019-11-13,234476
67,Chromebook Committee,2019-11-18,
68,Helping in Main Office,2019-11-19,
69,"Harborside 2, Jersey City (working w/ phones)",2019-11-24,438596
70,Parent´s Night,2019-11-26,438596
71,Helping out in Guidance ,2019-12-01,
72,Working in Main Office ,2019-12-01,287154
73,Volunteering at Palisades Hospital ,2019-12-01,287154
74,Recycling after school ,2019-12-03,454528
75,Fashion show,2019-12-04,454528
76,Handing Out Calenders At Winterfest w/ Envir. Club,2019-12-05,144406
77,Selling Merch At Winterfest w/ Student Counil,2019-12-05,
78,Winterfest,2019-12-05,144406
79,Winterfest ,2019-12-05,234476
80,Helped in Selling Hats at Winterfest & Packed Candy ,2019-12-05,
81,Face Painting with Sapoff for Winterfest ,2019-12-06,454528
82,Christmas Party at Rec,2019-12-07,
83,Pancake Breakfast at Applebee's ,2019-12-07,144406
84,Volunteering at Liberty Science Center ,2019-12-07,144406
85,Volunteering at Palisades Hospital ,2019-12-08,287154
86,Volunteering at Palisades Hospital ,2019-12-15,454528
87,Volunteering at Liberty Science Center ,2020-01-04,
88,Volunteering at Palisades Hospital ,2020-01-05,287154
89,Volunteering at Liberty Science Center ,2020-01-11,234476
90,Volunteering at Palisades Hospital ,2020-01-12,
91,Volunteering at Liberty Science Center ,2020-01-18,454528
92,Volunteering at Palisades Hospital ,2020-01-26,287154
93,Volunteering at Liberty Science Center ,2019-12-21,
94,Volunteering at Palisades Hospital ,2019-12-22,287154
95,Volunteering at Liberty Science Center ,2019-12-28,234476
96,Volunteering at Liberty Science Center ,2019-12-30,
97,Volunteering at Liberty Science Center ,2019-12-31,454528
98,Helping out in Guidance ,2020-01-01,234476
99,Helping out in Main Office ,2020-01-01,438596
100,Nutrition Center Winterfest Downtown,2019-12-10,438596
101,Food Bazaar Winterfest,2019-12-10,438596
102,Pathways Holiday Party,2019-12-13,454528
103,Chromebook Committee,2019-12-16,438596
104,Letters to the Elders ,2019-12-17,
105,Working in Main Office ,2019-11-20,438596
106,Helping out in Guidance ,2019-12-02,144406
107,Helping out in Guidance ,2020-02-01,454528
108,Runner for Academic Decathalon ,2020-02-01,234476
109,Helping out with Pie-A-Teacher Table ,2020-02-01,454528
110,Recycling after school ,2020-02-01,
111,Voluteering at Liberty Science Center ,2020-02-01,438596
112,Going to Ihop to partnership for Children's Miracle Network,2020-02-01,234476
113,Helping out in Main Office ,2020-02-01,144406
114,Helping out in Guidance ,2020-01-04,438596
115,Helping out in Guidance ,2020-01-20,
116,Helping out in Guidance ,2020-01-27,287154
117,New Jersey District Project Collections,2019-12-30,438596
118,Helping out in Main Office ,2020-03-01,287154
119,Volunteering at Liberty Science Center ,2010-03-01,438596
120,Setting up for Pie-A-Teacher at School Event,2020-03-04,287154
121,Helping make scarves for Winterfest ,2019-12-01,438596
